datetime,Date,Battery check time,Energy (Wh),Batter % Calculated,Slot,schedule_id
2025-09-29 11:52:00,9/29/2025,11:52:00 AM,1.0,99.921875,,0
2025-09-30 09:05:00,9/30/2025,9:05:00 AM,25.0,98.046875,28.0,0
2025-09-30 21:32:00,9/30/2025,9:32:00 PM,40.0,96.875,,0
2025-10-01 09:33:00,10/1/2025,9:33:00 AM,53.0,95.859375,,0
2025-10-02 01:41:00,10/2/2025,1:41:00 AM,72.0,94.375,,0
2025-10-03 14:50:00,10/3/2025,2:50:00 PM,115.0,91.015625,,0
2025-10-04 07:01:00,10/4/2025,7:01:00 AM,134.0,89.53125,,0
2025-10-05 18:46:00,10/5/2025,6:46:00 PM,175.0,86.328125,,0
2025-10-06 19:26:00,10/6/2025,7:26:00 PM,196.0,84.6875,,0
2025-10-07 16:28:00,10/7/2025,4:28:00 PM,221.0,82.734375,,0
2025-10-08 08:02:00,10/8/2025,8:02:00 AM,239.0,81.328125,,0
2025-10-20 22:48:00,10/20/2025,10:48:00 PM,0.0,100.0,,1
2025-10-21 22:50:00,10/21/2025,10:50:00 PM,21.0,98.359375,,1
2025-10-22 07:39:00,10/22/2025,7:39:00 AM,26.0,97.96875,,1
2025-10-23 08:02:00,10/23/2025,8:02:00 AM,48.0,96.25,,1
2025-10-23 21:13:00,10/23/2025,9:13:00 PM,62.0,95.15625,,1
2025-10-24 08:16:00,10/24/2025,8:16:00 AM,69.0,94.609375,,1
2025-10-26 22:13:00,10/26/2025,10:13:00 PM,127.0,90.078125,,1
2025-10-27 17:05:00,10/27/2025,5:05:00 PM,142.0,88.90625,,1
2025-10-27 22:20:00,10/27/2025,10:20:00 PM,148.0,88.4375,,1
2025-10-28 07:22:00,10/28/2025,7:22:00 AM,154.0,87.96875,,1
2025-10-29 20:19:00,10/29/2025,8:19:00 PM,176.0,86.25,,1
2025-10-29 22:22:00,10/29/2025,10:22:00 PM,188.0,85.3125,,1
2025-10-30 21:52:00,10/30/2025,9:52:00 PM,209.0,83.671875,,1
2025-11-17 15:18:00,11/17/2025,3:18:00 PM,572.0,55.3125,,1
2025-11-19 07:34:00,11/19/2025,7:34:00 AM,0.0,100.0,,2
2025-11-20 09:01:00,11/20/2025,9:01:00 AM,26.0,97.96875,,2
2025-11-21 08:14:00,11/21/2025,8:14:00 AM,56.0,95.625,,2
2025-11-21 13:26:00,11/21/2025,1:26:00 PM,63.0,95.078125,,2
2025-11-23 07:55:00,11/23/2025,7:55:00 AM,112.0,91.25,,2
2025-11-23 20:05:00,11/23/2025,8:05:00 PM,128.0,90.0,,2
2025-11-24 07:58:00,11/24/2025,7:58:00 AM,144.0,88.75,,2
2025-11-24 18:26:00,11/24/2025,6:26:00 PM,147.0,88.515625,,2
2025-11-25 07:30:00,11/25/2025,7:30:00 AM,156.0,87.8125,,2