experiment.name,experiment.seed,training.epochs,training.batch_size,training.threads,training.val_split,training.autotune,dataset.manifest,dataset.filters.include_negatives,dataset.filters.balance,dataset.filters.max_per_class,dataset.filters.quality,dataset.filters.call_type,dataset.filters.source_root,dataset.filters.splits,dataset.filters.manifest,dataset.filters.seed,dataset.counts_selected.pos,dataset.counts_selected.neg,dataset.breakdown_selected.positive_quality.high,dataset.breakdown_selected.positive_quality.medium,dataset.breakdown_selected.positive_call_type.growl,dataset.breakdown_selected.positive_call_type.grunt,dataset.breakdown_selected.negative_total,metrics.iid.default_0.5.threshold,metrics.iid.default_0.5.precision,metrics.iid.default_0.5.recall,metrics.iid.default_0.5.f1,metrics.iid.default_0.5.accuracy,metrics.iid.default_0.5.tp,metrics.iid.default_0.5.fp,metrics.iid.default_0.5.fn,metrics.iid.default_0.5.tn,metrics.iid.best_f1.threshold,metrics.iid.best_f1.precision,metrics.iid.best_f1.recall,metrics.iid.best_f1.f1,metrics.iid.best_f1.accuracy,metrics.iid.best_f1.tp,metrics.iid.best_f1.fp,metrics.iid.best_f1.fn,metrics.iid.best_f1.tn,metrics.iid.high_precision.threshold,metrics.iid.high_precision.precision,metrics.iid.high_precision.recall,metrics.iid.high_precision.f1,metrics.iid.high_precision.accuracy,metrics.iid.high_precision.tp,metrics.iid.high_precision.fp,metrics.iid.high_precision.fn,metrics.iid.high_precision.tn,metrics.iid.auroc,metrics.iid.auprc,metrics.ood.default_0.5.threshold,metrics.ood.default_0.5.precision,metrics.ood.default_0.5.recall,metrics.ood.default_0.5.f1,metrics.ood.default_0.5.accuracy,metrics.ood.default_0.5.tp,metrics.ood.default_0.5.fp,metrics.ood.default_0.5.fn,metrics.ood.default_0.5.tn,metrics.ood.best_f1.threshold,metrics.ood.best_f1.precision,metrics.ood.best_f1.recall,metrics.ood.best_f1.f1,metrics.ood.best_f1.accuracy,metrics.ood.best_f1.tp,metrics.ood.best_f1.fp,metrics.ood.best_f1.fn,metrics.ood.best_f1.tn,metrics.ood.high_precision.threshold,metrics.ood.high_precision.precision,metrics.ood.high_precision.recall,metrics.ood.high_precision.f1,metrics.ood.high_precision.accuracy,metrics.ood.high_precision.tp,metrics.ood.high_precision.fp,metrics.ood.high_precision.fn,metrics.ood.high_precision.tn,metrics.ood.auroc,metrics.ood.auprc,metadata.timestamp,metadata.git_commit,metadata.hostname,metadata.user,__exp_path,metrics.iid.high_precision,training_args.fmin,training_args.fmax,analyzer_args.fmin,analyzer_args.fmax,analyzer_args.sensitivity,dataset.breakdown_selected.positive_quality.low,dataset.breakdown_selected.positive_call_type.both,metrics.ood.high_precision,training_args.overlap,analyzer_args.overlap,training_args.focal-loss,training_args.focal-loss-gamma,training_args.focal-loss-alpha,training_args.learning_rate,training.dropout,training_args.hidden_units,training_args.mixup,training_args.dropout,training_args.label_smoothing,training_args.upsampling_mode,training_args.upsampling_ratio
stage1_sweep_001,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.669,0,0,977,1972,1.0,0.224,0.046,0.076,0.631,45,156,932,1816,,,,,,,,,,0.483,0.661,0.5,0.0,0.0,0.0,0.469,0,0,1913,1687,1.0,0.326,0.033,0.06,0.45,63,130,1850,1557,,,,,,,,,,0.478,0.457,2025-09-16T18:59:26.344487Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_001,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_002,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.684,0,0,979,2122,1.0,0.007,0.001,0.002,0.639,1,141,978,1981,,,,,,,,,,0.467,0.67,0.5,0.0,0.0,0.0,0.493,0,0,1894,1844,1.0,0.007,0.001,0.001,0.455,1,143,1893,1701,,,,,,,,,,0.461,0.474,2025-09-16T19:19:00.192028Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_002,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_003,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.669,0,0,963,1943,1.0,0.53,0.539,0.535,0.689,519,460,444,1483,,,,,,,,,,0.645,0.754,0.5,0.0,0.0,0.0,0.472,0,0,1881,1682,1.0,0.607,0.263,0.367,0.521,495,321,1386,1361,,,,,,,,,,0.542,0.495,2025-09-16T19:39:07.360575Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_003,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_004,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.66,0,0,977,1897,1.0,0.436,0.972,0.602,0.563,950,1228,27,669,,,,,,,,,,0.679,0.826,0.5,0.0,0.0,0.0,0.47,0,0,1855,1647,1.0,0.551,0.858,0.671,0.554,1592,1299,263,348,,,,,,,,,,0.478,0.478,2025-09-16T19:59:15.495329Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_004,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_005,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.666,0,0,946,1885,1.0,0.474,0.542,0.506,0.646,513,570,433,1315,,,,,,,,,,0.618,0.736,0.5,0.0,0.0,0.0,0.469,0,0,1856,1639,1.0,0.563,0.254,0.35,0.499,471,366,1385,1273,,,,,,,,,,0.51,0.476,2025-09-16T20:17:59.287760Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_005,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_006,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.671,0,0,970,1978,1.0,0.342,0.988,0.508,0.372,958,1840,12,138,,,,,,,,,,0.675,0.798,0.5,0.0,0.0,0.0,0.473,0,0,1893,1697,1.0,0.52,0.948,0.672,0.512,1794,1653,99,44,,,,,,,,,,0.447,0.428,2025-09-16T20:37:58.352991Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_006,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.0,False,repeat,0.0
stage1_sweep_007,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.666,0,0,980,1957,1.0,0.087,0.009,0.017,0.637,9,95,971,1862,,,,,,,,,,0.48,0.657,0.5,0.0,0.0,0.0,0.468,0,0,1894,1666,1.0,0.011,0.001,0.001,0.443,1,91,1893,1575,,,,,,,,,,0.473,0.455,2025-09-16T20:58:52.858683Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_007,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_008,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.663,0,0,977,1918,1.0,0.277,0.203,0.234,0.552,198,517,779,1401,,,,,,,,,,0.461,0.644,0.5,0.0,0.0,0.0,0.45,0,0,1883,1540,1.0,0.285,0.105,0.153,0.363,197,495,1686,1045,,,,,,,,,,0.388,0.394,2025-09-16T21:21:27.875870Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_008,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_009,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.681,0,0,1113,2372,1.0,0.295,0.203,0.241,0.591,226,540,887,1832,,,,,,,,,,0.488,0.675,0.5,0.0,0.0,0.0,0.492,0,0,2001,1938,1.0,0.313,0.088,0.138,0.438,177,388,1824,1550,,,,,,,,,,0.444,0.463,2025-09-16T21:44:37.528138Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_009,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_010,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.666,0,0,979,1948,1.0,0.352,0.58,0.438,0.503,568,1045,411,903,,,,,,,,,,0.487,0.671,0.5,0.0,0.0,0.0,0.454,0,0,1894,1572,1.0,0.387,0.278,0.324,0.365,527,834,1367,738,,,,,,,,,,0.35,0.377,2025-09-16T22:07:50.349576Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_010,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_011,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.665,0,0,986,1958,1.0,0.544,0.55,0.547,0.695,542,455,444,1503,,,,,,,,,,0.651,0.755,0.5,0.0,0.0,0.0,0.474,0,0,1852,1670,1.0,0.639,0.205,0.311,0.521,380,215,1472,1455,,,,,,,,,,0.54,0.496,2025-09-16T22:31:15.149032Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_011,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_012,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.666,0,0,980,1953,1.0,0.354,1.0,0.523,0.391,980,1786,0,167,,,,,,,,,,0.67,0.825,0.5,0.0,0.0,0.0,0.473,0,0,1880,1684,1.0,0.53,0.977,0.687,0.53,1837,1632,43,52,,,,,,,,,,0.411,0.42,2025-09-16T22:55:06.174371Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_012,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.25,False,repeat,0.0
stage1_sweep_013,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.669,0,0,1007,2036,1.0,0.443,0.134,0.206,0.658,135,170,872,1866,,,,,,,,,,0.525,0.681,0.5,0.0,0.0,0.0,0.475,0,0,1884,1705,1.0,0.538,0.049,0.09,0.479,92,79,1792,1626,,,,,,,,,,0.501,0.476,2025-09-16T23:24:57.822007Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_013,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_014,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.655,0,0,955,1815,1.0,0.509,0.245,0.331,0.658,234,226,721,1589,,,,,,,,,,0.556,0.685,0.5,0.0,0.0,0.0,0.466,0,0,1842,1607,1.0,0.552,0.122,0.199,0.478,224,182,1618,1425,,,,,,,,,,0.504,0.468,2025-09-16T23:56:21.476037Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_014,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_015,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.663,0,0,908,1783,1.0,0.407,0.653,0.501,0.562,593,864,315,919,,,,,,,,,,0.597,0.724,0.5,0.0,0.0,0.0,0.457,0,0,1868,1569,1.0,0.44,0.287,0.347,0.414,536,681,1332,888,,,,,,,,,,0.431,0.416,2025-09-17T00:23:33.681007Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_015,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_016,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.663,0,0,977,1919,1.0,0.281,0.47,0.351,0.415,459,1177,518,742,,,,,,,,,,0.417,0.615,0.5,0.0,0.0,0.0,0.454,0,0,1892,1576,1.0,0.342,0.238,0.281,0.335,450,865,1442,711,,,,,,,,,,0.324,0.365,2025-09-17T00:49:12.704772Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_016,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0005,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_017,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.671,0,0,990,2019,1.0,0.273,0.125,0.172,0.602,124,331,866,1688,,,,,,,,,,0.478,0.661,0.5,0.0,0.0,0.0,0.479,0,0,1904,1752,1.0,0.3,0.047,0.082,0.446,90,210,1814,1542,,,,,,,,,,0.463,0.461,2025-09-17T01:13:53.645507Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_017,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_018,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.671,0,0,985,2008,1.0,0.345,0.99,0.512,0.378,975,1851,10,157,,,,,,,,,,0.615,0.765,0.5,0.0,0.0,0.0,0.481,0,0,1894,1755,1.0,0.484,0.826,0.61,0.453,1564,1667,330,88,,,,,,,,,,0.32,0.375,2025-09-17T01:38:37.185512Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_018,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.001,,0.0,False,0.5,False,repeat,0.0
stage1_sweep_019,123,50,16,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.653,0,0,963,1814,1.0,0.274,0.067,0.108,0.615,65,172,898,1642,,,,,,,,,,0.486,0.647,0.5,0.0,0.0,0.0,0.457,0,0,1888,1592,1.0,0.179,0.017,0.032,0.424,33,151,1855,1441,,,,,,,,,,0.461,0.438,2025-09-17T02:03:53.692106Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_019,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,128.0,False,0.0,False,repeat,0.0
stage1_sweep_020,123,50,32,4,0.2,False,data/manifest.csv,True,True,,"['high', 'medium']",,data\splits,['train'],data\manifest.csv,123,2017,2017,245,1772.0,82,1157,2017,0.5,0.0,0.0,0.0,0.658,0,0,943,1813,1.0,0.328,0.279,0.301,0.558,263,539,680,1274,,,,,,,,,,0.491,0.653,0.5,0.0,0.0,0.0,0.459,0,0,1883,1596,1.0,0.441,0.246,0.316,0.423,463,587,1420,1009,,,,,,,,,,0.431,0.423,2025-09-17T02:28:35.571022Z,3ef816d555b16e9114d53bbb7843261e6a09ca5e,TylerSchwenksPC,tyler,experiments\stage1_sweep_020,,0.0,15000.0,0.0,15000.0,1.0,,778.0,,0.0,0.0,False,2.0,0.25,0.0001,,128.0,False,0.0,False,repeat,0.0
